,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kosh-agach,50.0,88.67,40.86,52,0,3.89,RU,1603341309
1,atuona,-9.8,-139.03,77.85,74,4,16.17,PF,1603340839
2,albany,42.6,-73.97,63.0,77,98,1.99,US,1603340861
3,hermanus,-34.42,19.23,55.99,90,2,1.99,ZA,1603340842
4,sao filipe,14.9,-24.5,80.56,74,41,5.12,CV,1603340939
5,rikitea,-23.12,-134.97,74.12,73,78,2.59,PF,1603341381
6,avarua,-21.21,-159.78,75.2,83,100,8.05,CK,1603341328
7,ahipara,-35.17,173.17,59.63,94,100,7.05,NZ,1603341381
8,nanortalik,60.14,-45.24,34.07,81,36,36.06,GL,1603341382
9,port alfred,-33.59,26.89,66.38,71,0,6.91,ZA,1603341268
10,vardo,70.37,31.11,28.4,92,75,8.05,NO,1603341295
11,kapaa,22.08,-159.32,78.8,78,75,5.82,US,1603341281
12,ajdabiya,30.76,20.23,62.94,52,10,5.57,LY,1603341382
13,chokurdakh,70.63,147.92,12.61,95,100,4.27,RU,1603341383
14,port elizabeth,-33.92,25.57,50.0,93,0,3.36,ZA,1603340900
15,vaini,-21.2,-175.2,73.4,78,90,8.05,TO,1603340847
16,tual,-5.67,132.75,82.38,74,10,2.75,ID,1603341383
17,soanierana ivongo,-16.92,49.58,76.03,73,34,10.38,MG,1603341383
18,araouane,18.9,-3.53,84.27,18,0,6.15,ML,1603340889
19,hithadhoo,-0.6,73.08,82.83,74,29,12.86,MV,1603340839
20,punta arenas,-53.15,-70.92,48.2,66,75,16.11,CL,1603340857
21,puerto ayora,-0.74,-90.35,68.0,94,98,8.01,EC,1603340843
22,mataura,-46.19,168.86,60.01,57,94,8.01,NZ,1603340947
23,kahului,20.89,-156.47,82.4,58,20,5.82,US,1603340825
24,mindelo,16.89,-24.98,78.8,78,20,20.8,CV,1603341385
25,chapais,49.78,-74.85,32.0,99,90,5.82,CA,1603341164
26,qaanaaq,77.48,-69.36,19.63,86,98,6.98,GL,1603340859
27,tuktoyaktuk,69.45,-133.04,17.6,85,90,12.75,CA,1603340852
28,dingle,11.0,122.67,86.95,73,26,15.68,PH,1603340935
29,cockburn town,21.46,-71.14,81.57,76,100,15.39,TC,1603340917
30,hobart,-42.88,147.33,63.0,59,75,9.17,AU,1603340958
31,mathbaria,22.29,89.96,73.78,96,100,13.96,BD,1603341386
32,upernavik,72.79,-56.15,23.11,95,70,2.75,GL,1603340849
33,dalby,-27.18,151.27,77.0,54,99,1.99,AU,1603341387
34,cabo san lucas,22.89,-109.91,82.0,70,0,9.42,MX,1603340738
35,puerto escondido,15.85,-97.07,79.16,80,71,3.69,MX,1603341387
36,ushuaia,-54.8,-68.3,48.2,57,75,7.25,AR,1603340950
37,alofi,-19.06,-169.92,75.2,94,85,17.22,NU,1603340702
38,qixia,37.3,120.83,60.46,34,2,16.31,CN,1603341388
39,darnah,32.77,22.64,68.07,66,11,11.07,LY,1603341388
40,provideniya,64.38,-173.3,41.0,86,90,4.47,RU,1603340866
41,khakhea,-24.69,23.49,70.23,52,0,21.09,BW,1603341388
42,busselton,-33.65,115.33,71.01,32,11,7.09,AU,1603340863
43,kodiak,57.79,-152.41,44.6,56,1,18.34,US,1603340637
44,puerto del rosario,28.5,-13.86,69.8,83,40,6.93,ES,1603341389
45,labuhan,-6.88,112.21,89.01,56,76,4.43,ID,1603340850
46,shenjiamen,29.96,122.3,64.87,80,99,17.47,CN,1603341389
47,murray bridge,-35.12,139.27,79.0,62,79,1.99,AU,1603341305
48,longyearbyen,78.22,15.64,24.8,68,75,8.05,SJ,1603340623
49,barrow,71.29,-156.79,33.8,95,90,16.11,US,1603340879
50,talaya,61.38,152.75,27.21,81,0,6.44,RU,1603341390
51,lagoa,39.05,-27.98,62.76,67,73,15.26,PT,1603340695
52,aklavik,68.22,-135.01,19.4,73,20,14.99,CA,1603340912
53,pisco,-13.7,-76.22,62.6,82,0,9.17,PE,1603340896
54,ust-maya,60.42,134.53,24.44,94,100,9.31,RU,1603341341
55,samdrup jongkhar,26.92,91.62,79.61,56,13,4.36,BT,1603341392
56,jamestown,42.1,-79.24,53.6,93,90,3.36,US,1603340882
57,port hardy,50.7,-127.42,41.0,80,5,8.05,CA,1603340755
58,georgetown,5.41,100.34,82.0,88,40,4.7,MY,1603340760
59,flin flon,54.77,-101.86,24.28,91,100,4.05,CA,1603341029
60,marystown,47.17,-55.15,54.0,100,98,11.36,CA,1603341340
61,cibeureum,-7.36,108.27,86.59,65,41,3.4,ID,1603341393
62,new norfolk,-42.78,147.06,63.0,43,57,1.99,AU,1603340839
63,castro,-24.79,-50.01,57.72,95,31,9.55,BR,1603340849
64,taldan,53.67,124.8,30.31,79,46,13.73,RU,1603341015
65,port lincoln,-34.73,135.87,59.29,85,100,8.19,AU,1603340836
66,malmesbury,-33.46,18.73,59.0,93,0,6.58,ZA,1603341394
67,roebourne,-20.78,117.13,92.44,20,7,17.36,AU,1603341394
68,conceicao do araguaia,-8.26,-49.26,80.1,58,9,1.92,BR,1603341394
69,kavaratti,10.57,72.64,84.2,74,20,9.17,IN,1603340962
70,roma,43.21,-75.46,57.2,82,90,2.66,US,1603340880
71,kamyshin,50.1,45.42,36.9,81,84,4.83,RU,1603341395
72,atambua,-9.11,124.89,88.93,45,1,5.17,ID,1603340890
73,talnakh,69.49,88.4,12.2,85,40,8.95,RU,1603340887
74,sao joao da barra,-21.64,-41.05,72.72,87,42,10.92,BR,1603340747
75,faanui,-16.48,-151.75,79.3,76,47,12.1,PF,1603340843
76,norton shores,43.17,-86.26,48.2,81,90,6.67,US,1603341395
77,ixtapa,20.7,-105.2,82.0,96,98,0.45,MX,1603340935
78,berlevag,70.86,29.09,21.2,92,14,3.36,NO,1603340693
79,raga,8.46,25.68,72.12,88,85,2.1,SS,1603341056
80,margate,51.38,1.39,55.99,82,0,4.0,GB,1603340900
81,diego de almagro,-26.37,-70.05,53.01,63,0,0.54,CL,1603341397
82,avera,33.19,-82.53,69.8,100,75,4.7,US,1603341323
83,cherskiy,68.75,161.3,21.61,94,0,10.74,RU,1603341067
84,erdenet,49.03,104.08,39.43,65,0,3.98,MN,1603341173
85,severo-kurilsk,50.68,156.12,43.27,68,90,10.49,RU,1603340911
86,petrolina,-9.4,-40.5,82.4,54,3,14.99,BR,1603341398
87,rivadavia,-33.19,-68.46,60.8,59,40,8.05,AR,1603341398
88,tarakan,3.3,117.63,83.64,73,46,8.14,ID,1603341398
89,faya,18.39,42.45,59.0,18,20,3.36,SA,1603341398
90,ginir,7.13,40.7,59.23,79,2,4.23,ET,1603340939
91,vestmannaeyjar,63.44,-20.27,42.22,92,100,39.86,IS,1603341311
92,paris,48.85,2.35,59.0,93,90,6.93,FR,1603341200
93,sitka,57.05,-135.33,33.8,47,1,4.7,US,1603340937
94,tuy hoa,13.08,109.3,79.99,73,100,11.01,VN,1603341399
95,kavieng,-2.57,150.8,84.87,66,32,7.4,PG,1603340866
96,guapiacu,-20.8,-49.22,69.44,80,19,10.38,BR,1603341399
97,cape town,-33.93,18.42,59.0,87,0,11.41,ZA,1603340587
98,yellowknife,62.46,-114.35,23.0,85,90,8.05,CA,1603340840
99,kruisfontein,-34.0,24.73,54.73,67,0,3.94,ZA,1603340860
100,maningrida,-12.07,134.27,91.02,43,76,11.7,AU,1603341275
101,asau,46.43,26.4,46.99,93,100,2.24,RO,1603340898
102,hilo,19.73,-155.09,78.8,69,1,5.28,US,1603340855
103,monte patria,-30.69,-70.95,56.01,57,0,0.16,CL,1603341401
104,sarny,51.34,26.6,45.9,75,87,9.84,UA,1603341401
105,ishigaki,24.34,124.16,80.6,94,75,5.82,JP,1603341401
106,zabol,32.25,67.25,59.13,25,0,2.13,AF,1603341402
107,altamont,42.21,-121.74,46.4,61,1,10.29,US,1603341402
108,washington,47.5,-120.5,43.0,74,0,4.14,US,1603341402
109,san vicente,-26.62,-54.13,66.58,73,3,4.76,AR,1603341403
110,santa isabel do rio negro,-0.41,-65.02,73.71,97,45,0.83,BR,1603341403
111,ola,59.58,151.28,35.04,78,72,8.55,RU,1603340923
112,narsaq,60.92,-46.05,28.4,63,76,1.12,GL,1603340864
113,hasaki,35.73,140.83,72.0,68,75,4.7,JP,1603340897
114,toora-khem,52.47,96.11,38.23,71,40,3.24,RU,1603340874
115,riyadh,24.69,46.72,64.4,31,0,3.36,SA,1603341404
116,calabozo,8.92,-67.43,75.24,94,44,3.38,VE,1603341404
117,semirom,31.42,51.57,53.51,26,0,3.6,IR,1603341404
118,zhongxing,33.7,118.68,67.68,24,0,10.47,CN,1603341404
119,pangnirtung,66.15,-65.71,24.82,94,100,4.36,CA,1603340857
120,arraial do cabo,-22.97,-42.03,72.43,88,27,12.21,BR,1603340951
121,mbandaka,0.05,18.26,70.3,93,98,2.55,CD,1603341405
122,evensk,61.95,159.23,33.85,87,20,4.03,RU,1603341065
123,bluff,-46.6,168.33,60.01,57,96,8.01,NZ,1603340734
124,vangazi,57.09,24.55,50.0,100,90,12.75,LV,1603341405
125,airai,-8.93,125.41,79.84,48,24,1.66,TL,1603340743
126,saint george,37.1,-113.58,68.0,15,1,8.05,US,1603340851
127,ostrovnoy,68.05,39.51,26.83,97,64,4.81,RU,1603341044
128,te anau,-45.42,167.72,52.86,69,100,5.82,NZ,1603340919
129,gidole,5.65,37.37,62.29,87,86,2.84,ET,1603341406
130,honiara,-9.43,159.95,86.0,70,75,3.36,SB,1603341407
131,bethel,41.37,-73.41,64.4,100,90,2.68,US,1603340877
132,san cristobal,7.77,-72.22,65.82,87,70,2.26,VE,1603340838
133,dunedin,-45.87,170.5,54.0,79,100,14.0,NZ,1603340904
134,san patricio,28.02,-97.52,79.0,83,1,10.29,US,1603341118
135,buraydah,26.33,43.98,62.6,42,0,4.7,SA,1603341408
136,zhigansk,66.77,123.37,18.79,96,87,7.07,RU,1603340931
137,east london,-33.02,27.91,62.6,82,0,9.17,ZA,1603340865
138,isangel,-19.55,169.27,84.2,70,75,6.93,VU,1603340894
139,laguna,38.42,-121.42,69.01,52,1,1.86,US,1603341070
140,werda,-25.27,23.28,71.47,49,23,19.06,BW,1603341409
141,mananjary,-21.22,48.33,76.69,63,36,3.42,MG,1603341409
142,mahebourg,-20.41,57.7,77.0,65,40,12.75,MU,1603340961
143,zeerust,-25.54,26.08,62.6,67,0,21.92,ZA,1603341409
144,acapulco,16.86,-99.89,79.27,83,40,4.18,MX,1603341150
145,rabo de peixe,37.8,-25.58,60.8,72,20,14.99,PT,1603341410
146,grand forks,47.94,-97.43,30.2,92,90,5.82,US,1603341410
147,palmer,42.16,-72.33,64.99,100,1,4.7,US,1603341410
148,yantal,56.85,105.25,44.04,68,92,8.43,RU,1603341411
149,saint-philippe,-21.36,55.77,78.8,65,53,18.34,RE,1603340736
150,ascoli piceno,42.85,13.57,55.99,24,0,4.7,IT,1603341400
151,waipawa,-41.41,175.52,62.01,67,0,20.8,NZ,1603341411
152,bac lieu,9.29,105.72,82.89,80,100,5.86,VN,1603341082
153,sarab,38.61,44.99,42.8,93,0,2.24,IR,1603341411
154,manbij,36.53,37.95,57.2,58,0,3.47,SY,1603341412
155,schkeuditz,51.4,12.22,57.99,71,71,9.17,DE,1603341412
156,rocha,-34.48,-54.33,55.2,77,99,10.63,UY,1603340940
157,poum,-20.23,164.02,77.25,76,0,13.91,NC,1603340888
158,bubaque,11.28,-15.83,81.5,82,91,8.68,GW,1603341413
159,itoman,26.12,127.67,77.0,100,75,5.82,JP,1603341075
160,chifeng,42.27,118.96,42.89,47,10,15.46,CN,1603341070
161,erenhot,43.65,111.98,38.41,57,0,11.59,CN,1603341402
162,cabedelo,-6.98,-34.83,75.2,100,75,5.82,BR,1603340912
163,sturgis,41.8,-85.42,48.2,93,90,4.7,US,1603341414
164,boa vista,2.82,-60.67,82.4,61,15,6.93,BR,1603341415
165,puerto varas,-41.32,-72.99,37.4,93,20,3.67,CL,1603341119
166,kudahuvadhoo,2.67,72.89,82.29,79,2,12.66,MV,1603340966
167,brae,60.4,-1.35,46.4,65,99,18.34,GB,1603340967
168,kachiry,53.07,76.1,42.26,63,100,17.27,KZ,1603341416
169,ati,13.22,18.34,79.56,17,11,8.16,TD,1603341416
170,pudozh,61.81,36.53,29.57,96,100,6.42,RU,1603341186
171,coquimbo,-29.95,-71.34,50.0,93,1,2.24,CL,1603340914
172,umm bab,25.21,50.81,84.99,78,1,8.05,QA,1603341417
173,wanaka,-44.7,169.15,60.71,45,85,2.21,NZ,1603341312
174,lompoc,34.64,-120.46,59.0,87,90,2.86,US,1603340770
175,port macquarie,-31.43,152.92,75.0,56,88,1.99,AU,1603340879
176,sambava,-14.27,50.17,78.49,67,77,16.62,MG,1603341400
177,mahibadhoo,3.78,72.97,82.72,78,43,15.48,MV,1603341418
178,bengkulu,-3.8,102.27,81.18,72,100,8.9,ID,1603340870
179,pochutla,15.74,-96.47,75.0,88,49,2.84,MX,1603340858
180,okha,53.57,142.95,50.45,80,99,14.97,RU,1603341418
181,gat,31.61,34.76,70.0,82,0,2.24,IL,1603341374
182,hovd,48.01,91.64,41.74,56,0,2.77,MN,1603340968
183,nueva gerona,21.88,-82.8,81.7,77,97,13.67,CU,1603341419
184,deputatskiy,69.3,139.9,10.06,97,100,1.7,RU,1603340946
185,clyde river,70.47,-68.59,15.8,72,1,5.82,CA,1603340750
186,kenora,49.82,-94.43,30.2,92,90,2.24,CA,1603341336
187,saint-joseph,-21.37,55.62,78.8,65,33,18.34,RE,1603341353
188,cidreira,-30.18,-50.21,65.34,88,100,17.87,BR,1603340842
189,nouadhibou,20.93,-17.03,71.6,88,0,11.41,MR,1603341420
190,ladario,-19.0,-57.6,73.09,87,92,2.17,BR,1603341420
191,ponta do sol,32.67,-17.1,64.4,59,20,9.17,PT,1603340895
192,norman wells,65.28,-126.83,21.2,85,90,10.29,CA,1603340853
193,naryan-mar,67.67,53.09,24.06,96,15,7.99,RU,1603340898
194,volzhsk,55.87,48.36,32.0,93,75,17.9,RU,1603341421
195,nikolskoye,59.7,30.79,41.0,93,90,8.95,RU,1603340885
196,ankazoabo,-22.28,44.52,81.14,29,0,8.75,MG,1603341422
197,bambous virieux,-20.34,57.76,78.01,65,40,12.75,MU,1603340733
198,ca mau,9.18,105.15,82.71,80,100,3.13,VN,1603341205
199,trairi,-3.28,-39.27,79.52,79,76,12.12,BR,1603341422
200,mar del plata,-38.0,-57.56,55.0,81,55,13.87,AR,1603340854
201,antalaha,-14.9,50.28,78.48,66,50,12.93,MG,1603341320
202,lavrentiya,65.58,-171.0,35.51,91,0,3.49,RU,1603340901
203,azuqueca de henares,40.57,-3.26,55.4,100,75,4.7,ES,1603341423
204,jaisalmer,26.91,70.92,85.32,13,0,4.12,IN,1603340941
205,ilulissat,69.22,-51.1,28.4,86,100,5.82,GL,1603340896
206,tromso,69.65,18.96,24.8,85,57,10.29,NO,1603341424
207,naze,28.37,129.48,78.8,88,75,17.22,JP,1603340880
208,kamiiso,41.82,140.65,62.6,72,75,4.7,JP,1603341424
209,singaraja,-8.11,115.09,85.15,65,12,3.74,ID,1603341424
210,port blair,11.67,92.75,84.11,77,66,12.08,IN,1603340948
211,bathsheba,13.22,-59.52,82.4,78,40,16.11,BB,1603340790
212,harper,4.38,-7.72,77.0,87,87,4.63,LR,1603340924
213,kirando,-7.42,30.6,76.93,64,90,1.68,TZ,1603341425
214,torbay,47.67,-52.73,48.0,93,90,12.75,CA,1603340876
215,salta,-24.79,-65.41,71.6,64,75,3.36,AR,1603340656
216,svetlyy,54.67,20.13,51.8,81,55,13.42,RU,1603340849
217,antofagasta,-23.65,-70.4,59.0,82,75,8.05,CL,1603341413
218,presidente medici,-11.18,-61.9,75.85,83,94,1.19,BR,1603341426
219,rio grande,-32.03,-52.1,63.0,86,97,7.0,BR,1603340790
220,karratha,-20.74,116.85,89.87,25,17,18.45,AU,1603341359
221,potsdam,52.4,13.07,59.0,77,73,11.54,DE,1603341427
222,saskylakh,71.92,114.08,6.64,94,8,7.61,RU,1603340856
223,pevek,69.7,170.31,29.5,97,18,8.05,RU,1603340846
224,beloha,-25.17,45.05,79.03,45,0,9.91,MG,1603341045
225,ancud,-41.87,-73.82,41.0,93,22,3.36,CL,1603340884
226,petropavlovsk-kamchatskiy,53.05,158.65,53.6,32,0,6.71,RU,1603341428
227,srednekolymsk,67.45,153.68,19.71,90,20,6.17,RU,1603340801
228,yulara,-25.24,130.99,96.8,12,45,25.28,AU,1603340675
229,geraldton,-28.77,114.6,73.4,53,0,18.34,AU,1603340870
230,vlasotince,42.96,22.12,37.4,86,42,2.24,RS,1603341429
231,orangeburg,33.49,-80.86,71.01,88,1,3.36,US,1603341407
232,ullapool,57.9,-5.16,46.0,63,100,1.99,GB,1603341429
233,hailar,49.2,119.7,31.73,85,0,9.89,CN,1603341116
234,iqaluit,63.75,-68.51,32.0,93,90,3.36,CA,1603341391
235,byron bay,-28.65,153.62,75.2,73,75,14.99,AU,1603340762
236,butaritari,3.07,172.79,82.08,71,39,8.68,KI,1603341316
237,jaguarao,-32.57,-53.38,60.69,81,92,15.21,BR,1603341430
238,barra do garcas,-15.89,-52.26,73.31,85,92,3.49,BR,1603341430
239,odessa,46.48,30.73,50.0,87,95,8.95,UA,1603341170
240,maceio,-9.67,-35.74,71.6,100,20,9.22,BR,1603341431
241,mango,27.98,-82.31,75.99,88,1,10.74,US,1603341431
242,nacala,-14.54,40.67,80.62,65,0,8.52,MZ,1603341432
243,ribeira grande,38.52,-28.7,63.34,71,97,14.54,PT,1603340860
244,hoopstad,-27.83,25.91,68.56,36,0,9.66,ZA,1603341432
245,nome,64.5,-165.41,37.4,86,90,5.82,US,1603341315
246,sola,-13.88,167.55,82.4,88,90,10.33,VU,1603341433
247,nantucket,41.28,-70.1,61.0,92,1,4.7,US,1603340900
248,charters towers,-20.1,146.27,94.98,20,7,6.42,AU,1603341074
249,haines junction,60.75,-137.51,21.79,81,5,1.79,CA,1603340802
250,coos bay,43.37,-124.22,51.8,66,1,6.93,US,1603341434
251,huarmey,-10.07,-78.15,63.05,85,67,8.77,PE,1603340928
252,shelburne,44.08,-80.2,42.01,100,1,3.36,CA,1603340901
253,beringovskiy,63.05,179.32,38.44,85,35,6.11,RU,1603341106
254,saldanha,-33.01,17.94,48.2,87,0,4.7,ZA,1603340739
255,north branch,45.51,-92.98,32.0,90,100,1.28,US,1603341435
256,saint-francois,46.42,3.91,61.0,87,98,2.24,FR,1603341435
257,warrington,53.39,-2.58,51.01,81,75,10.29,GB,1603341366
258,khandyga,62.67,135.6,22.39,94,100,4.76,RU,1603341436
259,santa comba,43.03,-8.81,55.99,92,28,1.01,ES,1603341390
260,katsuura,35.13,140.3,73.0,60,75,5.82,JP,1603340867
261,sinnamary,5.38,-52.95,79.66,84,19,8.99,GF,1603340886
262,erzin,36.96,36.2,66.2,88,2,10.29,TR,1603341436
263,dalaba,10.7,-12.25,60.85,98,76,2.8,GN,1603341437
264,teguldet,57.31,88.17,46.42,60,100,12.44,RU,1603341436
265,klaksvik,62.23,-6.59,33.8,86,88,1.12,FO,1603340873
266,guerrero negro,27.98,-114.06,67.23,89,1,9.78,MX,1603341078
267,dikson,73.51,80.55,24.96,94,99,12.75,RU,1603340744
268,turinsk,58.05,63.7,31.73,95,93,8.21,RU,1603341438
269,henties bay,-22.12,14.28,60.01,87,5,1.01,NA,1603341276
270,ranapur,22.65,74.53,86.58,51,32,3.98,IN,1603341440
271,tiksi,71.69,128.87,13.05,95,100,5.39,RU,1603340854
272,makakilo city,21.35,-158.09,77.0,88,90,3.36,US,1603341103
273,hammelburg,50.12,9.9,55.0,78,46,4.88,DE,1603341441
274,bosaso,11.28,49.18,85.59,51,43,1.5,SO,1603341441
275,wanning,18.8,110.4,78.96,64,70,15.73,CN,1603341441
276,bam,29.11,58.36,75.34,13,0,10.67,IR,1603341441
277,along,28.17,94.77,85.71,43,4,1.81,IN,1603341442
278,madinat sittah uktubar,29.82,31.05,68.0,88,4,3.36,EG,1603341442
